Number of Case under each FBI code:
(fbicode,Numberofcases)
(1,172)
(2,362)
(3,266)
(4,154)
(5,197)
(6,198)
(7,138)
(8,301)
(9,192)
(02,1480)
(03,10552)
(05,14735)
(06,62826)
(07,10520)
(09,437)
(10,1708)
(11,13637)
(12,79)
(13,151)
(14,31244)
(15,3780)
(16,1949)
(17,1165)
(18,24989)
(19,590)
(20,1435)
(21,293)
(22,483)
(23,77)
(24,4114)
(25,142)
(26,29009)
(27,175)
(28,385)
(29,196)
(30,115)
(31,93)
(32,76)
(33,105)
(34,184)
(35,56)
(36,63)
(37,161)
(38,117)
(39,98)
(40,97)
(41,123)
(42,87)
(43,101)
(44,35)
(45,34)
(46,62)
(47,137)
(48,61)
(49,61)
(50,40)
(56,15)
(57,1)
(58,3)
(61,5)
(66,7)
(68,2)
(76,51)
(01A,533)
(01B,6)
(04A,4912)
(04B,7598)
(08A,13161)
(08B,44935)
(1923,1)
